Index,Brand,Revenue,Logo
1,Louis Vuitton Men,26,"""https://raw.githubusercontent.com/portraitoffashion/luxe-fashion-designer-musical-chairs/master/assets/logos/louis-vuitton-04.logo.firsttier.svg"""
2,Louis Vuitton Women,26,"""https://raw.githubusercontent.com/portraitoffashion/luxe-fashion-designer-musical-chairs/master/assets/logos/louis-vuitton-04.logo.firsttier.svg"""
3,Chanel,15,"""https://raw.githubusercontent.com/portraitoffashion/luxe-fashion-designer-musical-chairs/master/assets/logos/chanel-02.logo.firsttier.svg"""
4,Hermes Men,12,"""https://raw.githubusercontent.com/portraitoffashion/luxe-fashion-designer-musical-chairs/master/assets/logos/hermes-01.logo.firsttier.svg"""
5,Hermes Women,12,"""https://raw.githubusercontent.com/portraitoffashion/luxe-fashion-designer-musical-chairs/master/assets/logos/hermes-01.logo.firsttier.svg"""
6,Gucci,11,"""https://raw.githubusercontent.com/portraitoffashion/luxe-fashion-designer-musical-chairs/master/assets/logos/gucci-06.logo.secondtier.svg"""
7,Dior Men,7.5,"""https://raw.githubusercontent.com/portraitoffashion/luxe-fashion-designer-musical-chairs/master/assets/logos/dior-03.logo.secondtier.svg"""
8,Dior Women,7.5,"""https://raw.githubusercontent.com/portraitoffashion/luxe-fashion-designer-musical-chairs/master/assets/logos/dior-03.logo.secondtier.svg"""
9,Prada,4,"""https://raw.githubusercontent.com/portraitoffashion/luxe-fashion-designer-musical-chairs/master/assets/logos/prada-12.logo.secondtier.svg"""
10,Burberry,3.7,"""https://raw.githubusercontent.com/portraitoffashion/luxe-fashion-designer-musical-chairs/master/assets/logos/burberry-17.logo.secondtier.svg"""
11,Saint Laurent,2.5,"""https://raw.githubusercontent.com/portraitoffashion/luxe-fashion-designer-musical-chairs/master/assets/logos/saint-laurent-13.logo.secondtier.svg"""
12,Balenciaga,2.3,"""https://raw.githubusercontent.com/portraitoffashion/luxe-fashion-designer-musical-chairs/master/assets/logos/balenciaga-08.logo.secondtier.svg"""
13,Bottega Veneta,1.7,"""https://raw.githubusercontent.com/portraitoffashion/luxe-fashion-designer-musical-chairs/master/assets/logos/bottega-veneta-07.logo.secondtier.svg"""
14,Valentino,1.3,"""https://raw.githubusercontent.com/portraitoffashion/luxe-fashion-designer-musical-chairs/master/assets/logos/valentino-14.logo.secondtier.svg"""
15,Celine,1,"""https://raw.githubusercontent.com/portraitoffashion/luxe-fashion-designer-musical-chairs/master/assets/logos/celine-06.logo.secondtier.svg"""
16,Fendi,1,"""https://raw.githubusercontent.com/portraitoffashion/luxe-fashion-designer-musical-chairs/master/assets/logos/fendi-10.logo.secondtier.svg"""
17,Givenchy,0.8,"""https://raw.githubusercontent.com/portraitoffashion/luxe-fashion-designer-musical-chairs/master/assets/logos/givenchy-16.logo.secondtier.svg"""
18,Alexander McQueen,0.5,"""https://raw.githubusercontent.com/portraitoffashion/luxe-fashion-designer-musical-chairs/master/assets/logos/alexander-mcqueen-09.logo.secondtier.svg"""
19,Chloe,0.5,"""https://raw.githubusercontent.com/portraitoffashion/luxe-fashion-designer-musical-chairs/master/assets/logos/chloe-18.logo.secondtier.svg"""
20,Loewe,0.4,"""https://raw.githubusercontent.com/portraitoffashion/luxe-fashion-designer-musical-chairs/master/assets/logos/loewe-15.logo.secondtier.svg"""
21,Masion Margiela,0.4,"""https://raw.githubusercontent.com/portraitoffashion/luxe-fashion-designer-musical-chairs/master/assets/logos/maison-margiela-11.logo.secondtier.svg"""